,NT.1,NT.2,HNRNPA2B1.1,HNRNPA2B1.2,CD99.1,CD99.2,B4GALNT1.1,B4GALNT1.2
ACOX2,0.275462,0,0.141234,0.245459,0,0.0695007,0.182458,0
ACOX3,6.02335,5.81287,6.14964,6.71527,6.23079,6.68269,6.49336,6.48942
ACOXL,0.0838347,0.0759655,0.248445,0.035055,0,0.0900443,0.0854662,0.464625
ACOXL-AS1,0.0615658,0.0421674,0.261218,0.22968,0.37371,0,0.128965,0.0940225
ACP1,109.218,107.049,110.003,115.444,117.442,108.613,118.149,110.411
ACP2,12.4031,12.2891,14.2035,13.997,13.9998,15.3585,14.1244,12.8762
ACP3,0.122978,0.108293,0.236383,0.595203,0.358119,0.125652,0.14117,0.184379
ACP4,0,0,0,0,0,0,0,0
ACP5,0,0.0320718,0,0,0,0,0,0
ACP6,30.1966,25.886,26.0281,26.6808,33.3758,28.1727,31.3338,33.3635
ACP7,0.0156956,0,0,0,0.0170033,0,0.0414273,0
ACR,0.340636,0.154044,0.0957224,0.250998,0.0366569,0.281512,0.0801309,0.0804361
ACRBP,0.273923,0.604195,0.082571,0,0.630928,0.259167,0.579125,0.653672
ACRP1,0.163828,0,0,0,0.087394,0.181231,0.0816325,0.130289
ACRV1,0,0.089536,0.0285163,0,0,0.0793227,0,0
ACSBG1,0.709677,0.415407,0.0165471,0.0425164,0.369596,0.0860337,0.552866,0.502203
ACSBG2,0,0.199263,0,0,0.0899458,0,0,0.0828608
ACSF2,16.115,18.182,11.5553,12.7055,15.5425,12.264,15.422,17.0401
ACSF3,18.5323,16.7794,17.9096,16.1504,16.848,13.1015,19.5175,19.8438
ACSL1,11.9562,11.083,11.8954,11.2125,12.0309,11.5453,13.4509,12.3704
ACSL3,36.1617,37.3548,42.0693,43.3451,42.6524,41.0368,46.0168,46.7327
ACSL3-AS1,0,0,0,0,0,0,0,0
ACSL4,15.0222,17.1317,17.6212,16.5356,17.3752,15.8157,22.4353,19.4407
ACSL5,0.0553063,0.012769,0,0,0,0,0,0.0282086
ACSL6,0.74908,0.739756,0.39214,0.585451,0.982661,0.795788,0.993628,0.827202
ACSM1,0,0.0695624,0,0,0,0,0,0.160113
ACSM2A,0.0370413,0.205111,0.270311,0,0,0.0211557,0.0001529,0
ACSM2B,0.290966,0.322825,0,0.0874769,0.174435,0,0.0187612,0.0825395
ACSM3,1.59778,1.54874,1.50405,1.9179,2.40061,1.16098,3.17797,3.53132
ACSM4,0,0,0,0,0,0,0,0
ACSM5,0,0,0,0,0,0,0,0
ACSM5P1,0,0,0,0,0,0,0,0
ACSM6,0,0,0,0.0382005,0,0,0,0
ACSS1,7.28585,7.9504,7.88426,7.45564,7.96301,6.93219,8.70078,8.16201
ACSS2,9.52084,8.8953,10.6565,10.1745,11.7695,11.3333,10.6812,11.7147
ACSS3,2.53638,2.30397,2.28966,2.09636,2.21567,2.75468,2.56057,2.95228
ACTA1,0.324023,0.293698,0.114748,0.280575,0.294899,0.368596,0.688416,0.237733
ACTA2,59.8438,64.802,42.4104,46.5586,56.2646,55.5725,60.2844,56.2821
ACTA2-AS1,0.273294,0.113855,0.0220391,0.0389009,0,0,0.189648,0
ACTB,1252.88,1294.56,1472.68,1400.61,1378.52,1443.72,1350.76,1314.8
ACTBL2,0,0,0,0,0,0,0,0
ACTBP1,0,0,0,0,0,0,0,0
ACTBP11,0.0897938,0,0,0,0,0,0,0
ACTBP12,0.177302,0,0,0,0,0,0,0
ACTBP14,0,0,0,0,0,0,0,0
ACTBP15,0,0,0,0.0501885,0,0,0,0
ACTBP2,0,0,0,0,0,0,0,0
ACTBP4,0,0,0,0,0,0,0,0
ACTBP6,0,0,0,0,0,0,0,0
ACTBP7,0.224965,0,0.159693,0,0.145229,0.101982,0,0
ACTBP8,0.0457659,0,0,0,0,0,0,0
ACTBP9,0,0,0,0,0.0497101,0,0,0
ACTC1,0,0,0.111072,0,0.171694,0.103992,0,0
ACTE1P,0,0,0,0.047183,0,0,0,0
ACTG1,1602.09,1616.74,1793.79,1612.66,1682.82,1762.07,1745.76,1718.32
